,Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two ($USD),Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country,Total Cuisines Variety
0,6317637,Le Petit Souffle,162,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City",121.02753500000001,14.565443,"French, Japanese, Desserts",21.7,Philippine Peso(PHP),Yes,No,No,No,3,4.8,Dark Green,Excellent,314.0,Phillipines,3
1,6304287,Izakaya Kikufuji,162,Makati City,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",121.014101,14.553707999999999,Japanese,23.67,Philippine Peso(PHP),Yes,No,No,No,3,4.5,Dark Green,Excellent,591.0,Phillipines,1
2,6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City",121.056831,14.581404000000001,"Seafood, Asian, Filipino, Indian",78.9,Philippine Peso(PHP),Yes,No,No,No,4,4.4,Green,Very Good,270.0,Phillipines,4
3,6318506,Ooma,162,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056475,14.585318,"Japanese, Sushi",29.59,Philippine Peso(PHP),No,No,No,No,4,4.9,Dark Green,Excellent,365.0,Phillipines,2
4,6314302,Sambo Kojin,162,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.05750800000001,14.58445,"Japanese, Korean",29.59,Philippine Peso(PHP),Yes,No,No,No,4,4.8,Dark Green,Excellent,229.0,Phillipines,2
5,18189371,Din Tai Fung,162,Mandaluyong City,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.05631399999999,14.583764000000002,Chinese,19.72,Philippine Peso(PHP),No,No,No,No,3,4.4,Green,Very Good,336.0,Phillipines,1
6,6300781,Buffet 101,162,Pasay City,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.97966670000001,14.53133333,"Asian, European",39.45,Philippine Peso(PHP),Yes,No,No,No,4,4.0,Green,Very Good,520.0,Phillipines,2
7,6301290,Vikings,162,Pasay City,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9793333,14.54,"Seafood, Filipino, Asian, European",39.45,Philippine Peso(PHP),Yes,No,No,No,4,4.2,Green,Very Good,677.0,Phillipines,4
8,6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City",120.98008999999999,14.55299,"European, Asian, Indian",118.35,Philippine Peso(PHP),Yes,No,No,No,4,4.9,Dark Green,Excellent,621.0,Phillipines,3
9,6314987,Locavore,162,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.056532,14.572041,Filipino,21.7,Philippine Peso(PHP),Yes,No,No,No,3,4.8,Dark Green,Excellent,532.0,Phillipines,1
