,Restaurant Name,Cuisines,City,Locality Verbose,Country,Longitude,Latitude,Average Cost for two ($USD),Aggregate rating,Votes,Location
0,Jahanpanah,"NorthIndian,Mughlai",Agra,"Agra Cantt, Agra",India,78.01154444,27.16166111,11.16,3.9,140.0,"AgraCantt,Agra,India"
1,Rangrezz Restaurant,"NorthIndian,Mughlai",Agra,"Agra Cantt, Agra",India,78.03261468071426,27.16669016928572,9.19,3.5,71.0,"AgraCantt,Agra,India"
2,Time2Eat - Mama Chicken,NorthIndian,Agra,"Agra Cantt, Agra",India,78.01160797,27.16083249,6.57,3.6,94.0,"AgraCantt,Agra,India"
3,Chokho Jeeman Marwari Jain Bhojanalya,Rajasthani,Agra,"Civil Lines, Agra",India,77.99809167,27.19592778,5.25,4.0,87.0,"CivilLines,Agra,India"
4,Pinch Of Spice,"NorthIndian,Chinese,Mughlai",Agra,"Civil Lines, Agra",India,78.00755278,27.201725,13.13,4.2,177.0,"CivilLines,Agra,India"
5,MoMo Cafe,"NorthIndian,European",Agra,"Courtyard by Marriott Agra, Tajganj, Agra",India,78.03261468071426,27.16669016928572,26.26,4.0,45.0,"CourtyardbyMarriottAgra,Tajganj,Agra,India"
6,Peshawri - ITC Mughal,"NorthIndian,Mughlai",Agra,"ITC Mughal, Tajganj, Agra",India,78.044095,27.160934,32.83,4.3,133.0,"ITCMughal,Tajganj,Agra,India"
7,Taj Bano - ITC Mughal,Mughlai,Agra,"ITC Mughal, Tajganj, Agra",India,78.044095,27.160934,32.83,4.0,41.0,"ITCMughal,Tajganj,Agra,India"
8,G Thal,"Rajasthani,Gujarati,Mughlai",Agra,"Khandari, Agra",India,78.03261468071426,27.16669016928572,10.51,3.6,59.0,"Khandari,Agra,India"
9,Dawat-e-Nawab - Radisson Blu,"NorthIndian,Mughlai",Agra,"Radisson Blu, Tajganj, Agra",India,78.05704399999998,27.163303000000006,47.28,3.8,46.0,"RadissonBlu,Tajganj,Agra,India"
10,The Latitude - Radisson Blu,"NorthIndian,Chinese,Continental",Agra,"Radisson Blu, Tajganj, Agra",India,78.05704399999998,27.163303000000006,8.19,3.9,103.0,"RadissonBlu,Tajganj,Agra,India"
